L,Full mission,A x A,B x B,A x B
2.040000000000000000e+02,-1.783269099193733609e-03,-3.807825105904756244e-03,1.645182755999996570e-03,3.416861775895219263e-04
2.050000000000000000e+02,-2.041836211462002854e-03,-2.138007786350361056e-03,4.718305184570774358e-03,-5.387189911277579131e-03
2.060000000000000000e+02,-1.023625017364179117e-03,-2.011773900824377018e-03,-2.041871818843645457e-03,-4.555281028922992040e-03
2.070000000000000000e+02,3.424360388163391394e-04,-3.423447729421904423e-03,-7.258605086785524518e-04,-6.858595577672386805e-04
2.080000000000000000e+02,1.326705115661021847e-03,2.408434052074847134e-03,-2.374402740815927115e-04,5.533415782315607989e-03
2.090000000000000000e+02,1.697238508308941164e-03,-1.472267529199673859e-03,4.354034395708345981e-03,8.127344821861429711e-04
2.100000000000000000e+02,-1.203937898406836748e-03,-5.377575895335900795e-03,3.640982738449937122e-03,-1.694112066026658972e-03
2.110000000000000000e+02,2.962499532843587344e-04,-1.331358803893249645e-03,3.747983294086132920e-03,-8.339949289580168585e-04
2.120000000000000000e+02,6.983207044713832419e-04,-3.588828718646753287e-03,7.022435309857194205e-03,1.564348961922357216e-03
2.130000000000000000e+02,2.037213120911403243e-03,-2.939497360128695211e-03,4.920370450946028214e-03,4.832635242626542285e-04
2.140000000000000000e+02,-7.915085620118734663e-04,-3.215482312133474425e-03,-2.953965765271357371e-03,-5.498460491336441954e-04
2.150000000000000000e+02,-7.072568417934705070e-04,2.049662297211593716e-03,2.453305641744642912e-05,-8.254205943999086284e-04
2.160000000000000000e+02,-1.027510008158507432e-03,2.028648054095227079e-03,1.667713035715583190e-03,-1.000691908395573339e-03
2.170000000000000000e+02,-5.651331173391292966e-04,6.329833878691570881e-03,1.234772789887637586e-03,-2.662533842004377160e-03
2.180000000000000000e+02,-1.705101486587954490e-03,-4.057278147648773516e-04,-5.445159928074058339e-03,-2.106742480833558723e-03
2.190000000000000000e+02,2.043901834340184059e-03,8.730581413333760726e-03,2.259967205276834472e-03,5.809244602436542358e-03
2.200000000000000000e+02,-7.028513703896964492e-04,-3.289532884621645427e-03,6.436097788251647980e-04,-1.126484655550152002e-03
2.210000000000000000e+02,-1.304916124445823587e-03,-4.743324392387983368e-03,-2.275909762245910493e-03,4.153645911142603286e-03
2.220000000000000000e+02,1.063059953630411496e-03,-4.146529874712607394e-04,3.512192572084932296e-03,1.339724683600637288e-04
2.230000000000000000e+02,-1.230310752328507735e-03,1.453463138833501877e-03,2.807206089990367612e-03,-2.687793278783359632e-03
