L,Full mission,HM1 x HM1,HM2 x HM2,HM1 x HM2
2.050000000000000000e+02,3.716984118602854642e-04,8.461283021692839797e-04,5.868535746103506479e-04,-1.137668929441573717e-03
2.060000000000000000e+02,-8.517944899432973145e-05,2.591577946206485850e-03,-2.002566397598755030e-03,2.240118621655585660e-03
2.070000000000000000e+02,-7.673263317510135200e-04,-6.302947550520601044e-03,4.410537215433719439e-03,-8.877787603499183184e-04
2.080000000000000000e+02,7.748185099187103724e-04,-5.653276950478504544e-04,4.174448028681548330e-03,-4.298457992988138215e-03
2.090000000000000000e+02,1.773043297742940083e-04,7.641444818239250501e-03,5.203519281241693328e-03,-1.965045520753244245e-03
2.100000000000000000e+02,-9.641502460469576459e-04,3.011017757622257845e-03,5.267309428779527042e-03,-4.818708457392910545e-03
2.110000000000000000e+02,6.522281535013062063e-04,2.180979621520158789e-04,6.429680611933743378e-03,3.285382767439544958e-03
2.120000000000000000e+02,1.825696782903099525e-04,-1.011604563034499728e-02,6.404948095743462355e-03,-1.596802888423683609e-03
2.130000000000000000e+02,5.101068291977850153e-03,1.007970314774555990e-03,2.373543394191049254e-03,-3.292217534878800166e-03
2.140000000000000000e+02,-2.292200606464881666e-03,1.352395566574976981e-03,2.677656317093138685e-04,3.884556102405361427e-05
2.150000000000000000e+02,4.271607499358514247e-05,2.559233012176382032e-03,-1.044808588320211926e-03,-8.311802748473439556e-03
2.160000000000000000e+02,1.153577385347738992e-03,-1.580127319988437187e-03,-1.028123434207643336e-02,3.813706472202982485e-03
2.170000000000000000e+02,4.659917637690635288e-04,-1.009596310907382713e-03,-9.142890958212029559e-04,2.302410109127007304e-03
2.180000000000000000e+02,5.739333723478562107e-04,-1.421196715604525944e-03,-2.647672876565886069e-04,-2.158059225432054900e-03
2.190000000000000000e+02,2.839700476595351849e-03,5.765961992805863565e-03,3.731741161532800815e-03,2.940916351311841179e-03
2.200000000000000000e+02,-6.231506233420555391e-04,2.754889433154396848e-03,1.129009645126910055e-03,-1.342377924039541348e-03
2.210000000000000000e+02,-3.938951871568183724e-04,-6.414242484449321491e-03,-2.033292545031656871e-03,2.472468899430593607e-03
2.220000000000000000e+02,2.807170081027214777e-03,7.213951912913025687e-04,3.322914765187772249e-03,1.033837751538330173e-03
